Id,Condition,Label,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW,ScaleX,ScaleY,ScaleZ,Label,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW,ScaleX,ScaleY,ScaleZ
0,0,Cube,-3.82,1.8,0,0,0,0,1,1,1,1,Sphere,0,2.39,-2.62,0,0,0,1,1,1,1
0,0,Cube,-3.82,1.8,0,0,0,0,1,1,1,1,Sphere,0,2.39,-2.62,0,0,0,1,1,1,1
0,0,Cube,-3.82,1.8,0,0,0,0,1,1,1,1,Sphere,0,2.39,-2.62,0,0,0,1,1,1,1
0,0,Cube,-3.82,1.8,0,0,0,0,1,1,1,1,Sphere,0,2.39,-2.62,0,0,0,1,1,1,1
0,0,Cube,-3.82,1.8,0,0,0,0,1,1,1,1,Sphere,0,2.39,-2.62,0,0,0,1,1,1,1
0,0,Cube,-3.82,1.8,0,0,0,0,1,1,1,1,Sphere,0,2.39,-2.62,0,0,0,1,1,1,1
0,0,Cube,-3.82,1.8,0,0,0,0,1,1,1,1,Sphere,0,2.39,-2.62,0,0,0,1,1,1,1
0,0,Cube,-3.82,1.8,0,0,0,0,1,1,1,1,Sphere,0,2.39,-2.62,0,0,0,1,1,1,1
0,0,Cube,-3.82,1.8,0,0,0,0,1,1,1,1,Sphere,0,2.39,-2.62,0,0,0,1,1,1,1
0,0,Cube,-3.82,1.8,0,0,0,0,1,1,1,1,Sphere,0,2.39,-2.62,0,0,0,1,1,1,1
0,0,Cube,-3.82,1.8,0,0,0,0,1,1,1,1,Sphere,0,2.39,-2.62,0,0,0,1,1,1,1
0,0,Cube,-3.82,1.8,0,0,0,0,1,1,1,1,Sphere,0,2.39,-2.62,0,0,0,1,1,1,1
0,0,Cube,-3.82,1.8,0,0,0,0,1,1,1,1,Sphere,0,2.39,-2.62,0,0,0,1,1,1,1
0,0,Cube,-3.82,1.8,0,0,0,0,1,1,1,1,Sphere,0,2.39,-2.62,0,0,0,1,1,1,1
0,0,Cube,-3.82,1.8,0,0,0,0,1,1,1,1,Sphere,0,2.39,-2.62,0,0,0,1,1,1,1
0,0,Cube,-3.82,1.8,0,0,0,0,1,1,1,1,Sphere,0,2.39,-2.62,0,0,0,1,1,1,1
0,0,Cube,-3.82,1.8,0,0,0,0,1,1,1,1,Sphere,0,2.39,-2.62,0,0,0,1,1,1,1
0,0,Cube,-3.82,1.8,0,0,0,0,1,1,1,1,Sphere,0,2.39,-2.62,0,0,0,1,1,1,1
0,0,Cube,-3.82,1.8,0,0,0,0,1,1,1,1,Sphere,0,2.39,-2.62,0,0,0,1,1,1,1
0,0,Cube,-3.82,1.8,0,0,0,0,1,1,1,1,Sphere,0,2.39,-2.62,0,0,0,1,1,1,1
0,0,Cube,-3.82,1.8,0,0,0,0,1,1,1,1,Sphere,0,2.39,-2.62,0,0,0,1,1,1,1
0,0,Cube,-3.82,1.8,0,0,0,0,1,1,1,1,Sphere,0,2.39,-2.62,0,0,0,1,1,1,1
0,0,Cube,-3.82,1.8,0,0,0,0,1,1,1,1,Sphere,0,2.39,-2.62,0,0,0,1,1,1,1
0,0,Cube,-3.82,1.8,0,0,0,0,1,1,1,1,Sphere,0,2.39,-2.62,0,0,0,1,1,1,1
0,0,Cube,-3.82,1.8,0,0,0,0,1,1,1,1,Sphere,0,2.39,-2.62,0,0,0,1,1,1,1
0,0,Cube,-3.82,1.8,0,0,0,0,1,1,1,1,Sphere,0,2.39,-2.62,0,0,0,1,1,1,1
0,0,Cube,-3.82,1.8,0,0,0,0,1,1,1,1,Sphere,0,2.39,-2.62,0,0,0,1,1,1,1
